"label","est_sig","se","pvalue","confint"
"AonFOld","0.12***",0.0221481162119177,1.85248267868377e-08,"[0.08, 0.17]"
"AonFYoung","0.08***",0.0182384997242737,6.20278057183754e-06,"[0.05, 0.12]"
"AonMOld","0.15***",0.0153413031199001,1.18732799013915e-22,"[0.12, 0.18]"
"AonMYoung","0.10***",0.0239478110896252,3.12931717755432e-05,"[0.05, 0.15]"
"FwithMOld","0.41***",0.0590050438642249,4.8051001927148e-12,"[0.29, 0.52]"
"FwithMYoung","0.38***",0.0654627580313931,7.86802503646899e-09,"[0.25, 0.51]"
"D_FOld_Young","0.04",0.0286911471351127,0.163269816823264,"[-0.01, 0.10]"
"D_MOld_Young","0.05",0.0284403452405347,0.0787363039563592,"[-0.01, 0.11]"
"D_Old","0.03",0.0274555383917023,0.274536206716242,"[-0.03, 0.08]"
"D_Young","0.02",0.026338125378205,0.447639934047739,"[-0.03, 0.07]"
