"Moderator","Level","k","#ESm_a","#ESm_f","#ESf_a","N"
"Overall","Main","32","186","129","187","14627"
"p_cluster","control","16","45","38","45","4450"
"p_cluster","negative","9","24","22","24","5940"
"p_cluster","positive","26","113","66","114","13373"
"age_group","Old","17","110","62","111","7108"
"age_group","Young","17","74","65","74","9842"
"same_wave","No","16","108","76","108","10429"
"same_wave","Yes","22","78","53","79","7745"
"country_US","NONUS","14","51","48","52","8142"
"country_US","US","16","126","72","126","4407""Overall","Main","32","186","129","187","14627"
